id_aluno,evasao,sexo,idade,estudante_nis,informou_nome_mae,informou_nome_pai,possui_deficiencia,raca_cor,tipo_localizacao_endereco_estudante,situacao_consolidada_no_ano,etapa_ensino,repetente,frequencia_escolar,notas_medias,nivel_socioeconomico,renda_familiar,trabalha,trabalho_domestico_excessivo,problemas_de_saude,violencia_domestica,gravidez_na_adolescencia,apoio_familiar,comportamento_em_sala,aceitacao_pelos_pares,necessita_assistencia_social,expectativa_retorno,fator_desencadeador_presente,distancia_da_escola_km,violencia_na_comunidade,engajamento_com_a_escola,infraestrutura_escolar,disponibilidade_material_didatico,flexibilidade_pedagogica,qualidade_pedagogica_percebida,pontuacao_risco,evasao_confirmada
11,False,Masculino,20,True,True,True,False,Parda,Urbana,Reprovado,2° EM,False,55.6,7.9,N3,847.68,False,False,False,False,False,Médio,Ruim,Baixa,True,Média,False,0.9,True,Moderado,Boa,Parcial,Média,Boa,0.3321482986287455,True
12,False,Masculino,15,False,True,False,False,Parda,Urbana,Aprovado,3° EM,False,88.2,5.9,N7,626.6,False,True,True,False,False,Alto,Bom,Alta,True,Baixa,True,0.0,True,Baixo,Regular,Insuficiente,Baixa,Boa,0.2681564245810056,False
13,False,Feminino,12,True,True,True,False,Parda,Urbana,Aprovado,3° EM,False,82.5,4.7,N7,817.48,False,False,False,False,False,Alto,Regular,Média,False,Alta,False,1.6,True,Moderado,Boa,Completa,Alta,Ruim,0.35804977145759265,True
14,False,Masculino,12,False,True,True,False,Amarela,Urbana,Aprovado,1° EM,False,68.5,7.5,N7,352.55,False,False,False,False,False,Médio,Bom,Média,True,Alta,False,1.7,False,Alto,Boa,Parcial,Baixa,Ruim,0.28694768918232605,False
15,False,Feminino,16,False,True,True,True,Branca,Urbana,Evadido,1° EM,False,80.8,5.8,N6,782.82,False,False,True,False,False,Médio,Bom,Baixa,False,Média,False,2.5,False,Baixo,Boa,Parcial,Alta,Regular,0.3108176739461656,False
16,False,Feminino,13,False,True,False,False,Parda,Rural,Aprovado,2° EM,False,50.4,5.7,N2,778.92,False,False,False,False,False,Alto,Regular,Baixa,True,Alta,False,2.3,False,Moderado,Boa,Insuficiente,Média,Boa,0.47028948704926354,False
17,False,Feminino,10,True,True,True,False,Branca,Rural,Evadido,7° EF,False,69.5,5.5,N7,427.93,False,True,False,False,False,Médio,Bom,Média,False,Baixa,False,1.2,False,Moderado,Boa,Parcial,Média,Regular,0.38344337227018793,False
18,False,Feminino,19,True,True,True,False,Branca,Urbana,Aprovado,7° EF,False,60.3,7.7,N4,460.96,False,False,False,False,False,Médio,Regular,Baixa,False,Média,False,1.7,False,Moderado,Ruim,Completa,Média,Boa,0.31843575418994413,False
19,False,Masculino,22,False,True,True,False,Preta,Rural,Aprovado,3° EM,False,96.5,6.1,N2,1034.48,False,False,False,True,False,Médio,Bom,Alta,True,Baixa,False,0.1,False,Moderado,Regular,Parcial,Baixa,Boa,0.5544269510749957,True
20,False,Masculino,11,False,True,False,False,Indígena,Urbana,Aprovado,2° EM,False,73.9,5.5,N6,806.96,False,False,False,False,False,Médio,Bom,Alta,False,Alta,True,0.8,False,Alto,Boa,Completa,Média,Boa,0.3610970035551041,True
21,False,Feminino,19,False,True,True,False,Amarela,Urbana,Reprovado,9° EF,False,87.9,8.1,N1,366.2,True,False,False,False,False,Alto,Regular,Baixa,False,Alta,True,2.6,False,Alto,Regular,Completa,Baixa,Regular,0.32723886913831046,False
22,True,Masculino,17,False,True,True,False,Parda,Urbana,Reprovado,1° EM,False,77.2,6.6,N2,705.14,False,False,False,False,False,Médio,Bom,Baixa,True,Alta,False,1.7,False,Moderado,Boa,Completa,Média,Boa,0.2884713052310818,True
23,False,Masculino,15,False,True,True,False,Parda,Urbana,Aprovado,3° EM,False,79.2,6.3,N7,1031.89,False,False,False,False,False,Médio,Regular,Média,False,Alta,False,1.9,False,Alto,Boa,Insuficiente,Alta,Regular,0.2935500253936008,True
24,False,Feminino,19,False,True,True,False,Amarela,Urbana,Evadido,2° EM,False,81.9,6.0,N1,488.35,False,False,False,False,False,Baixo,Regular,Alta,True,Baixa,False,3.5,True,Alto,Ruim,Completa,Alta,Ruim,0.2950736414423565,False
25,False,Feminino,13,False,True,True,False,Branca,Rural,Aprovado,4° EF,False,70.4,6.2,N7,859.05,False,False,False,False,False,Alto,Bom,Baixa,False,Média,False,1.7,True,Baixo,Regular,Completa,Alta,Boa,0.3433214829862874,False
26,False,Feminino,13,True,True,True,False,Parda,Urbana,Aprovado,1° EM,False,91.0,3.4,N5,232.64,False,False,False,False,False,Baixo,Bom,Média,True,Baixa,False,2.6,False,Baixo,Boa,Completa,Média,Ruim,0.38090401218892833,False
27,False,Outro,19,False,True,True,False,Parda,Urbana,Evadido,7° EF,False,74.9,7.0,N1,623.71,False,True,False,True,False,Baixo,Bom,Alta,False,Alta,False,0.5,False,Baixo,Boa,Completa,Média,Ruim,0.6184188251227357,True
28,False,Feminino,14,False,True,False,False,Amarela,Urbana,Reprovado,5° EF,False,75.7,4.8,N1,362.34,False,False,False,False,False,Baixo,Ruim,Alta,False,Baixa,False,2.5,False,Baixo,Ruim,Completa,Baixa,Regular,0.38750634840020315,True
29,False,Masculino,14,False,True,True,False,Amarela,Urbana,Aprovado,9° EF,False,88.0,5.7,N2,647.58,False,False,False,False,False,Médio,Ruim,Baixa,True,Baixa,False,0.3,True,Moderado,Boa,Completa,Média,Ruim,0.2793296089385475,False
30,False,Feminino,12,False,True,True,False,Branca,Urbana,Aprovado,2° EM,False,96.9,6.4,N6,773.92,False,False,False,False,False,Médio,Regular,Baixa,False,Baixa,False,3.7,False,Baixo,Regular,Parcial,Alta,Ruim,0.19857795835449465,False
31,True,Outro,14,False,True,False,False,Branca,Urbana,Evadido,6° EF,False,91.2,5.1,N3,506.63,False,False,False,False,False,Alto,Bom,Alta,False,Alta,False,1.8,False,Moderado,Boa,Completa,Média,Ruim,0.2935500253936008,False
32,False,Masculino,19,False,True,False,False,Branca,Rural,Aprovado,3° EM,False,85.7,5.9,N2,421.98,False,False,False,False,False,Baixo,Ruim,Média,True,Alta,False,3.2,True,Moderado,Boa,Completa,Alta,Ruim,0.28085322498730314,False
33,False,Feminino,21,False,True,True,False,Preta,Urbana,Reprovado,2° EM,False,89.4,8.3,N1,1390.88,False,False,False,False,False,Alto,Regular,Baixa,False,Média,False,1.8,False,Alto,Regular,Parcial,Alta,Regular,0.14017267648552556,False
34,False,Feminino,10,True,True,False,True,Branca,Urbana,Aprovado,3° EM,False,93.1,6.3,N3,673.95,False,False,False,False,False,Baixo,Regular,Alta,True,Média,False,0.6,False,Moderado,Boa,Completa,Alta,Regular,0.2229558151345861,False
35,False,Masculino,12,False,True,True,False,Parda,Urbana,Aprovado,3° EM,False,56.9,5.4,N2,652.18,False,False,False,False,False,Alto,Regular,Média,False,Média,False,2.7,False,Moderado,Boa,Completa,Baixa,Ruim,0.4525139664804469,False
36,False,Feminino,15,False,True,False,False,Parda,Urbana,Aprovado,1° EM,False,97.4,4.7,N1,396.11,False,False,False,False,False,Médio,Bom,Baixa,False,Alta,False,2.6,False,Alto,Regular,Insuficiente,Média,Regular,0.28237684103605887,False
37,False,Masculino,22,False,True,True,False,Parda,Urbana,Evadido,2° EM,False,83.3,7.7,N6,435.1,False,False,False,False,False,Baixo,Bom,Baixa,False,Alta,False,2.0,False,Moderado,Regular,Parcial,Média,Boa,0.2016251904520061,False
38,False,Outro,11,False,True,True,False,Parda,Urbana,Aprovado,2° EM,False,51.0,7.3,N6,835.2,False,False,False,False,False,Médio,Ruim,Baixa,False,Baixa,False,0.9,False,Moderado,Regular,Parcial,Média,Boa,0.3859827323514474,True
39,False,Feminino,18,False,True,True,False,Branca,Urbana,Aprovado,2° EM,False,95.9,6.9,N2,268.54,False,True,False,False,False,Alto,Bom,Alta,False,Média,False,2.8,False,Moderado,Regular,Completa,Alta,Regular,0.17826307770441843,False
40,False,Masculino,22,False,True,True,False,Parda,Urbana,Aprovado,9° EF,False,61.2,7.7,N7,683.68,False,False,False,False,False,Alto,Ruim,Alta,False,Baixa,False,1.2,False,Alto,Regular,Completa,Baixa,Boa,0.3138649060436769,False
41,False,Feminino,12,False,True,True,False,Branca,Urbana,Aprovado,7° EF,False,77.0,8.7,N4,230.27,False,False,False,False,False,Alto,Ruim,Alta,True,Alta,False,5.0,True,Moderado,Regular,Parcial,Média,Regular,0.18283392585068564,False
42,False,Feminino,11,True,True,True,False,Parda,Urbana,Evadido,9° EF,False,61.2,4.2,N3,607.39,False,True,False,False,False,Médio,Regular,Alta,False,Alta,False,1.2,False,Moderado,Regular,Parcial,Alta,Ruim,0.49162011173184356,False
43,False,Masculino,15,False,True,True,False,Preta,Urbana,Aprovado,2° EM,False,56.9,6.6,N1,494.53,False,False,False,False,False,Alto,Bom,Alta,True,Alta,False,2.6,False,Moderado,Regular,Completa,Média,Ruim,0.39156932453021837,False
44,False,Feminino,21,False,True,False,False,Parda,Urbana,Aprovado,2° EM,False,87.7,7.1,N3,1021.91,True,False,False,False,False,Baixo,Bom,Alta,False,Alta,False,1.5,False,Moderado,Regular,Completa,Baixa,Ruim,0.37904181479600474,False
45,False,Feminino,12,False,True,True,False,Branca,Urbana,Aprovado,3° EM,False,63.7,7.7,N3,863.9,False,False,False,False,False,Alto,Bom,Baixa,False,Alta,False,3.0,False,Moderado,Ruim,Completa,Baixa,Boa,0.3011681056373794,True
46,False,Masculino,20,False,True,False,False,Parda,Urbana,Reprovado,2° EM,False,84.7,6.7,N5,319.41,False,False,False,False,False,Médio,Bom,Alta,False,Alta,False,1.2,False,Alto,Ruim,Completa,Baixa,Regular,0.24530218384966984,False
47,False,Masculino,14,False,True,True,False,Branca,Urbana,Reprovado,2° EM,False,61.3,7.7,N7,1489.86,False,False,False,False,False,Médio,Regular,Alta,False,Média,False,1.8,False,Alto,Boa,Parcial,Alta,Boa,0.31335703402742504,False
48,False,Masculino,17,False,True,True,False,Preta,Urbana,Aprovado,2° EM,False,84.6,8.3,N7,617.59,False,False,False,False,False,Alto,Ruim,Baixa,False,Alta,True,2.1,True,Alto,Regular,Parcial,Alta,Boa,0.16455053326561703,False
49,False,Feminino,14,True,True,True,False,Preta,Urbana,Evadido,2° EM,False,89.6,6.3,N3,1695.33,False,True,False,False,False,Alto,Bom,Baixa,False,Baixa,False,1.1,False,Moderado,Boa,Completa,Baixa,Regular,0.24073133570340277,False
50,False,Masculino,10,False,False,True,False,Parda,Urbana,Aprovado,1° EM,False,84.7,9.0,N7,371.86,False,True,False,False,False,Alto,Ruim,Média,False,Média,False,2.0,False,Moderado,Boa,Completa,Alta,Regular,0.12849162011173185,False
51,False,Masculino,10,True,True,False,False,Parda,Urbana,Aprovado,1° EM,True,87.5,6.4,N4,1053.57,False,False,False,False,False,Baixo,Ruim,Média,False,Alta,False,0.3,False,Baixo,Regular,Completa,Média,Boa,0.41560859996614186,False
52,False,Masculino,15,True,True,False,False,Parda,Urbana,Evadido,1° EM,False,70.5,4.0,N6,609.23,False,False,False,False,False,Alto,Ruim,Média,True,Alta,False,2.6,True,Moderado,Boa,Completa,Baixa,Regular,0.4545454545454545,True
53,False,Masculino,20,False,True,True,False,Parda,Urbana,Aprovado,1° EM,False,85.1,6.4,N6,824.35,False,False,True,False,False,Alto,Ruim,Alta,False,Alta,False,2.5,False,Alto,Regular,Completa,Média,Ruim,0.2585068562722194,False
54,False,Masculino,19,True,False,True,False,Parda,Urbana,Aprovado,1° EM,False,89.0,3.1,N4,400.17,False,False,False,False,False,Alto,Bom,Média,False,Alta,False,2.6,False,Baixo,Ruim,Parcial,Alta,Boa,0.40629761300152367,False
55,False,Feminino,20,False,True,True,False,Branca,Urbana,Aprovado,3° EM,False,96.1,2.7,N5,439.84,False,False,False,False,False,Baixo,Regular,Média,False,Alta,False,1.2,False,Moderado,Regular,Completa,Alta,Regular,0.3905535804977146,False
56,False,Feminino,22,False,True,False,True,Branca,Rural,Aprovado,7° EF,False,54.8,5.2,N6,331.19,False,False,False,False,False,Alto,Ruim,Alta,False,Média,True,2.0,True,Moderado,Regular,Parcial,Alta,Boa,0.47333671914677494,False
57,False,Masculino,16,True,True,False,False,Preta,Urbana,Reprovado,2° EM,False,82.7,5.6,N4,1602.95,False,False,False,False,False,Médio,Ruim,Alta,False,Alta,False,1.2,False,Alto,Regular,Completa,Alta,Ruim,0.31132554596241746,False
58,False,Feminino,21,False,True,True,False,Branca,Urbana,Em andamento,9° EF,False,56.2,6.2,N3,539.19,False,False,False,False,False,Baixo,Ruim,Alta,False,Baixa,True,3.0,False,Moderado,Boa,Completa,Baixa,Boa,0.41543930929405787,False
59,True,Feminino,19,False,False,True,False,Branca,Urbana,Aprovado,5° EF,False,98.6,5.4,N7,334.87,True,False,False,False,False,Médio,Bom,Alta,False,Média,False,3.2,True,Moderado,Boa,Parcial,Média,Ruim,0.4100220077873709,False
60,False,Outro,17,True,True,True,False,Parda,Urbana,Aprovado,1° EM,False,66.5,6.7,N7,868.44,False,False,False,False,False,Baixo,Bom,Baixa,False,Média,False,2.5,False,Moderado,Ruim,Completa,Alta,Ruim,0.3377348908075165,False
61,False,Masculino,22,False,True,True,False,Preta,Urbana,Aprovado,9° EF,False,71.3,6.1,N7,709.92,False,False,False,False,False,Baixo,Ruim,Baixa,False,Média,False,2.3,False,Alto,Boa,Completa,Alta,Ruim,0.34382935500253936,False
62,False,Feminino,21,False,True,True,False,Branca,Urbana,Aprovado,1° EM,False,90.3,5.0,N6,757.49,False,False,False,False,False,Alto,Bom,Média,False,Média,False,2.4,False,Moderado,Boa,Parcial,Baixa,Boa,0.303199593702387,False
63,True,Feminino,14,False,True,True,False,Preta,Rural,Aprovado,1° EM,False,89.4,7.6,N7,528.71,False,True,False,False,False,Médio,Ruim,Alta,False,Alta,False,2.9,False,Baixo,Regular,Parcial,Média,Boa,0.17572371762315894,False
64,False,Masculino,22,False,True,True,False,Parda,Urbana,Aprovado,1° EM,False,67.7,7.0,N3,667.29,False,True,False,False,False,Alto,Bom,Média,True,Alta,False,2.5,False,Alto,Boa,Insuficiente,Média,Boa,0.3164042661249365,False
65,False,Feminino,16,False,False,False,False,Branca,Urbana,Aprovado,2° EM,False,70.3,9.7,N1,1472.39,False,False,False,False,False,Alto,Bom,Média,False,Média,False,2.7,True,Moderado,Boa,Insuficiente,Alta,Boa,0.16607414931437284,False
66,False,Feminino,17,True,True,True,False,Parda,Rural,Aprovado,1° EM,True,92.1,8.9,N5,655.68,False,False,False,False,False,Médio,Bom,Alta,False,Baixa,False,2.5,False,Alto,Ruim,Completa,Média,Regular,0.2652784831555781,False
67,True,Feminino,20,False,True,False,True,Parda,Urbana,Aprovado,2° EF,False,87.5,6.4,N6,691.33,False,False,False,False,False,Alto,Regular,Baixa,False,Alta,True,1.3,False,Alto,Ruim,Completa,Média,Ruim,0.2463179278821737,True
68,False,Feminino,11,False,True,False,False,Parda,Urbana,Aprovado,8° EF,False,55.4,6.6,N5,267.07,False,False,False,False,False,Médio,Bom,Média,False,Baixa,False,0.9,False,Moderado,Boa,Completa,Média,Boa,0.39918740477399695,False
69,False,Feminino,20,True,True,True,False,Branca,Urbana,Aprovado,2° EM,False,73.2,5.2,N2,488.5,False,False,False,False,False,Alto,Bom,Alta,False,Alta,False,1.9,False,Moderado,Boa,Parcial,Alta,Regular,0.37988826815642457,True
70,False,Feminino,19,True,True,True,True,Branca,Urbana,Aprovado,1° EM,False,86.5,8.2,N4,480.44,True,False,False,False,False,Alto,Bom,Média,True,Alta,False,3.1,False,Moderado,Boa,Completa,Baixa,Boa,0.32927035720331815,False
71,False,Feminino,19,True,True,False,False,Branca,Urbana,Reprovado,1° EM,False,90.9,5.0,N1,673.17,True,False,False,False,True,Alto,Ruim,Alta,True,Alta,False,2.5,True,Baixo,Boa,Completa,Média,Ruim,0.4694430336888437,True
72,False,Masculino,22,False,False,False,False,Branca,Urbana,Aprovado,3° EM,False,73.2,6.7,N1,687.59,False,False,False,False,False,Baixo,Ruim,Média,False,Alta,False,2.3,False,Alto,Ruim,Insuficiente,Alta,Regular,0.3037074657186389,True
73,False,Feminino,22,False,True,True,False,Parda,Rural,Aprovado,3° EM,False,79.3,6.4,N3,963.65,False,False,False,False,True,Alto,Bom,Média,True,Alta,False,1.7,False,Moderado,Ruim,Completa,Média,Boa,0.28796343321482987,False
74,False,Masculino,15,True,True,True,False,Branca,Urbana,Aprovado,7° EF,False,89.4,4.9,N7,468.71,False,False,False,False,False,Alto,Regular,Alta,False,Média,False,2.2,False,Baixo,Boa,Insuficiente,Média,Boa,0.31284916201117313,False
75,False,Feminino,14,False,True,True,False,Preta,Urbana,Aprovado,8° EF,False,51.9,8.3,N6,1381.97,False,False,False,False,False,Médio,Regular,Alta,False,Alta,False,2.6,False,Moderado,Regular,Completa,Baixa,Boa,0.3306246825799898,False
76,False,Outro,21,True,True,True,False,Parda,Urbana,Evadido,8° EF,False,93.8,8.8,N2,256.41,False,False,False,False,False,Alto,Regular,Alta,True,Baixa,False,1.8,False,Alto,Ruim,Completa,Alta,Boa,0.0924327069578466,False
77,False,Masculino,21,False,True,False,False,Preta,Urbana,Evadido,2° EM,False,65.4,8.5,N2,434.03,False,False,False,False,False,Alto,Bom,Baixa,False,Alta,False,1.4,False,Alto,Regular,Completa,Alta,Boa,0.2519045200609446,False
78,False,Masculino,15,False,True,True,False,Amarela,Urbana,Aprovado,2° EM,False,90.2,6.6,N1,362.85,True,False,False,False,False,Médio,Regular,Baixa,True,Alta,True,1.3,False,Alto,Boa,Parcial,Baixa,Boa,0.39173861520230235,False
79,False,Feminino,19,False,True,False,False,Parda,Urbana,Aprovado,9° EF,False,98.8,6.3,N7,2229.31,False,True,False,False,False,Alto,Bom,Baixa,True,Média,False,2.0,False,Alto,Regular,Insuficiente,Média,Boa,0.19400711020822753,False
80,True,Feminino,17,False,True,True,False,Branca,Urbana,Reprovado,2° EM,False,99.9,8.2,N1,1409.41,False,False,False,False,False,Médio,Ruim,Média,True,Alta,False,2.7,False,Moderado,Regular,Completa,Baixa,Ruim,0.09192483494159472,False
81,True,Feminino,12,False,True,False,False,Preta,Urbana,Aprovado,1° EM,False,65.5,4.7,N6,329.17,False,False,False,False,False,Alto,Bom,Alta,True,Média,False,1.4,False,Moderado,Boa,Insuficiente,Alta,Boa,0.44438801422041646,False
82,False,Feminino,20,False,True,True,False,Preta,Urbana,Aprovado,2° EM,False,91.3,2.8,N6,545.41,False,False,False,False,False,Alto,Regular,Baixa,True,Alta,False,2.4,True,Alto,Boa,Parcial,Baixa,Boa,0.409852717115287,False
83,False,Feminino,16,False,True,True,False,Amarela,Urbana,Evadido,1° EM,False,97.5,4.4,N1,710.76,False,False,False,False,False,Médio,Bom,Baixa,False,Média,False,3.2,True,Baixo,Boa,Parcial,Média,Boa,0.2971051295073641,True
84,False,Feminino,13,False,True,True,False,Parda,Urbana,Aprovado,1° EM,False,59.2,8.0,N4,549.09,False,False,False,True,False,Baixo,Bom,Alta,False,Baixa,False,0.1,False,Baixo,Regular,Parcial,Média,Regular,0.6473675300490942,False
85,False,Masculino,18,False,True,True,False,Branca,Urbana,Aprovado,2° EM,False,92.6,7.2,N3,1267.52,False,False,False,False,False,Médio,Regular,Média,False,Alta,True,3.2,False,Alto,Ruim,Completa,Alta,Ruim,0.17978669375317421,False
86,False,Feminino,15,False,True,True,True,Parda,Urbana,Aprovado,1° EM,False,99.4,7.1,N4,620.7,False,True,False,False,False,Médio,Bom,Alta,False,Alta,False,3.2,False,Baixo,Boa,Completa,Baixa,Boa,0.1503301168105637,True
87,False,Outro,20,False,True,False,False,Parda,Rural,Aprovado,8° EF,False,69.2,8.7,N1,651.75,False,False,False,False,False,Baixo,Bom,Média,True,Média,False,2.0,False,Baixo,Regular,Parcial,Média,Ruim,0.2224479431183342,False
88,False,Masculino,10,False,True,True,False,Branca,Urbana,Aprovado,2° EM,False,69.3,4.9,N5,1001.52,False,False,False,False,False,Alto,Bom,Baixa,False,Média,False,2.5,False,Baixo,Boa,Parcial,Média,Boa,0.414931437277806,False
89,False,Masculino,18,True,True,True,False,Branca,Rural,Reprovado,7° EF,False,65.0,7.9,N6,674.07,False,False,False,False,False,Baixo,Bom,Média,True,Baixa,False,2.9,True,Moderado,Regular,Completa,Alta,Boa,0.2844083291010665,True
90,False,Feminino,21,True,True,True,False,Branca,Rural,Reprovado,1° EM,False,75.4,10.3,N1,255.48,False,True,True,False,False,Médio,Ruim,Média,True,Baixa,False,3.8,False,Alto,Regular,Completa,Baixa,Boa,0.1097003555104113,False
91,False,Masculino,11,True,True,False,False,Amarela,Rural,Aprovado,2° EM,False,80.3,4.4,N3,1270.95,True,False,False,True,False,Médio,Regular,Alta,True,Baixa,False,2.9,False,Baixo,Regular,Completa,Média,Boa,0.8923311325545963,True
92,False,Masculino,19,False,True,False,False,Parda,Urbana,Evadido,2° EM,False,73.1,6.7,N1,822.26,False,False,False,True,False,Alto,Bom,Alta,False,Alta,False,1.6,False,Alto,Boa,Completa,Média,Regular,0.6427966819028272,True
93,False,Masculino,12,False,True,True,False,Branca,Urbana,Evadido,1° EM,False,71.9,6.8,N1,600.25,False,True,False,False,False,Médio,Bom,Baixa,False,Alta,False,2.6,False,Moderado,Boa,Completa,Alta,Regular,0.30523108176739455,False
94,False,Feminino,11,False,True,True,False,Amarela,Rural,Reprovado,1° EM,False,72.8,9.8,N2,525.06,False,False,False,False,False,Médio,Regular,Baixa,False,Média,False,3.6,False,Baixo,Boa,Completa,Alta,Regular,0.1482986287455561,False
95,False,Masculino,17,False,True,True,False,Branca,Urbana,Aprovado,6° EF,False,53.1,6.7,N6,486.63,False,False,False,False,False,Baixo,Regular,Alta,False,Média,False,0.2,False,Baixo,Boa,Completa,Baixa,Boa,0.40578974098527165,True
96,False,Feminino,11,False,True,True,False,Parda,Urbana,Aprovado,1° EM,False,56.2,9.2,N5,1697.82,True,False,False,False,False,Alto,Regular,Alta,False,Baixa,False,2.9,False,Alto,Regular,Completa,Alta,Regular,0.43236837650245474,True
97,False,Feminino,11,False,True,True,False,Indígena,Urbana,Reprovado,6° EF,False,50.8,5.9,N1,1494.19,False,False,False,False,False,Alto,Ruim,Alta,True,Alta,False,2.5,True,Moderado,Boa,Completa,Média,Boa,0.4581005586592179,False
98,False,Masculino,13,False,True,True,True,Branca,Urbana,Aprovado,7° EF,False,97.7,6.3,N5,1037.15,False,False,False,False,False,Médio,Bom,Alta,False,Alta,False,0.9,False,Moderado,Boa,Completa,Média,Regular,0.19959370238699847,False
99,False,Outro,10,False,True,True,False,Indígena,Urbana,Em andamento,8° EF,False,99.9,5.8,N1,473.78,False,False,False,False,False,Médio,Bom,Baixa,True,Baixa,False,2.8,False,Moderado,Boa,Parcial,Média,Boa,0.2138141188420518,False
100,True,Feminino,16,True,True,True,False,Branca,Urbana,Aprovado,6° EF,False,71.9,7.8,N1,571.08,False,True,False,False,False,Alto,Bom,Média,False,Alta,False,2.9,False,Moderado,Ruim,Completa,Alta,Regular,0.25444388014220415,False
101,False,Feminino,13,False,True,True,False,Parda,Urbana,Aprovado,1° EF,False,62.0,6.7,N3,647.5,False,True,False,False,False,Baixo,Regular,Média,False,Alta,False,2.6,False,Moderado,Boa,Insuficiente,Média,Boa,0.36058913153885214,False
102,False,Masculino,21,False,True,False,False,Parda,Urbana,Aprovado,3° EM,False,97.4,5.4,N7,1015.03,True,False,True,False,False,Médio,Regular,Alta,True,Alta,False,2.9,False,Moderado,Regular,Parcial,Alta,Regular,0.4161164719823937,False
103,False,Masculino,16,True,True,True,False,Parda,Urbana,Evadido,2° EM,False,90.9,5.9,N4,847.48,True,False,False,False,False,Baixo,Bom,Alta,False,Baixa,False,2.2,False,Alto,Boa,Parcial,Média,Regular,0.4237345522261723,False
104,False,Masculino,11,True,True,False,False,Não declarada,Urbana,Aprovado,9° EF,False,64.7,4.1,N4,435.42,True,False,True,False,False,Baixo,Ruim,Alta,False,Baixa,False,2.7,False,Alto,Boa,Completa,Alta,Boa,0.6482139834095142,True
105,True,Masculino,22,False,True,False,False,Branca,Urbana,Aprovado,8° EF,False,99.5,8.6,N4,218.74,False,True,False,False,False,Médio,Bom,Baixa,True,Alta,False,2.8,False,Alto,Boa,Completa,Média,Boa,0.07364144235652617,True
106,False,Masculino,21,False,True,False,True,Parda,Urbana,Aprovado,7° EF,False,73.6,7.8,N6,199.33,False,False,False,False,False,Alto,Bom,Baixa,False,Média,False,1.4,False,Alto,Boa,Parcial,Alta,Regular,0.24581005586592183,False
